,WaveformDecomposition.stop_methode,WaveformDecomposition.stop_region,WaveformDecomposition.threshold,WaveformDecomposition.fwhm,WaveformDecomposition.search_range,WaveformDecomposition.search_edge,MipTimeRetrieval.pe_hit_time,MipTimeRetrieval.window_length,MipTimeRetrieval.window_threshold,SystematicsStudy.threshold_tres,SystematicsStudy.range_time,SystematicsStudy.start_mpv,SystematicsStudy.window_length_mpv,MPV_1,MPV_2,MPV_3,MPV_4,TRes,TRes_shift
1953,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,4.0,2.0,0.5,6.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,0.7840650806466272,-0.2552028023479522
1954,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,4.0,2.0,0.6,4.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,1.6854229798477196,-0.274322617494763
1955,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,4.0,2.0,0.6,6.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,1.7599822227911253,-0.2866616425378392
1956,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,4.0,6.0,0.4,4.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,0.9147962870295389,-0.19696534844106733
1957,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,4.0,6.0,0.4,6.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,0.9122048255344221,-0.19126149740328632
1958,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,4.0,6.0,0.5,4.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,1.0364934666605223,-0.22254416646737543
1959,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,4.0,6.0,0.5,6.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,0.7891771387334094,-0.266752964149266
1960,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,4.0,6.0,0.6,4.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,1.899761038522507,-0.27067061290781574
1961,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,4.0,6.0,0.6,6.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,1.7580592519881018,-0.2777208797535277
1962,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,12.0,1.0,0.4,4.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,1.008274953057451,-0.006426047836131549
1963,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,12.0,1.0,0.4,6.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,0.9831436894513268,-0.0016544926590213276
1964,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,12.0,1.0,0.5,4.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,0.9694986720314729,-0.04108680538213768
1965,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,12.0,1.0,0.5,6.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,0.9613951779296035,-0.03793156899872935
1966,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,12.0,1.0,0.6,4.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,0.8895515178257244,-0.1108734604236251
