,SignalTagging.bins_over_threshold,SignalTagging.threshold,SignalTagging.signal_length,WaveformDecomposition.threshold,WaveformDecomposition.fwhm,MipTimeRetrieval.window_length,MipTimeRetrieval.timing_type,MipTimeRetrieval.constant_fraction,MipTimeRetrieval.pe_hit_time,MPV_1,MPV_2,MPV_3,MPV_4,TRes,TRes_shift
97,1.0,11.7,375.0,0.5,8.0,36.0,pe hit time,0.5,3,0.9848061044294538,0.7841320554762857,0.7870923912434076,0.944813829773647,1.0166493497686842,-0.31423347992606393
98,1.0,11.7,375.0,0.5,8.0,50.0,constant fraction,0.1,3,1.0209950993967938,0.8152248708182661,0.7870923913986079,0.9448138297388978,0.9313849611121185,-0.12013337224854995
99,1.0,11.7,375.0,0.5,8.0,50.0,constant fraction,0.2,3,1.0209950993967938,0.8152248708182661,0.7870923913986079,0.9448138297388978,0.9310626390071979,-0.1520962239901709
100,1.0,11.7,375.0,0.5,8.0,50.0,constant fraction,0.3,3,1.0209950993967938,0.8152248708182661,0.7870923913986079,0.9448138297388978,1.0745475778120663,-0.1861588727544978
101,1.0,11.7,375.0,0.5,8.0,50.0,constant fraction,0.5,3,1.0209950993967938,0.8152248708182661,0.7870923913986079,0.9448138297388978,1.5347471042458969,-0.2812408441497728
102,1.0,11.7,375.0,0.5,8.0,50.0,pe hit time,0.5,1,1.0209950993967938,0.8152248708182661,0.7870923913986079,0.9448138297388978,1.027521227564938,-0.20591316969934603
103,1.0,11.7,375.0,0.5,8.0,50.0,pe hit time,0.5,2,1.0209950993967938,0.8152248708182661,0.7870923913986079,0.9448138297388978,0.9423343172711144,-0.23061467479943917
104,1.0,11.7,375.0,0.5,8.0,50.0,pe hit time,0.5,3,1.0209950993967938,0.8152248708182661,0.7870923913986079,0.9448138297388978,1.033186612094068,-0.3122513148122106
105,1.0,11.7,375.0,0.5,8.0,66.0,constant fraction,0.1,3,1.0209950994145889,0.8152248710199573,0.8116944875342192,0.94481382980789,0.9402822372908126,-0.12567007581766448
106,1.0,11.7,375.0,0.5,8.0,66.0,constant fraction,0.2,3,1.0209950994145889,0.8152248710199573,0.8116944875342192,0.94481382980789,0.9381431397055436,-0.15912781940387896
107,1.0,11.7,375.0,0.5,8.0,66.0,constant fraction,0.3,3,1.0209950994145889,0.8152248710199573,0.8116944875342192,0.94481382980789,1.0857157266398474,-0.1966841919276641
108,1.0,11.7,375.0,0.5,8.0,66.0,constant fraction,0.5,3,1.0209950994145889,0.8152248710199573,0.8116944875342192,0.94481382980789,1.5653676926191347,-0.30282240183276576
109,1.0,11.7,375.0,0.5,8.0,66.0,pe hit time,0.5,1,1.0209950994145889,0.8152248710199573,0.8116944875342192,0.94481382980789,1.035448117635912,-0.20919541610187462
110,1.0,11.7,375.0,0.5,8.0,66.0,pe hit time,0.5,2,1.0209950994145889,0.8152248710199573,0.8116944875342192,0.94481382980789,0.9503009304259286,-0.23601577208429128
111,1.0,11.7,375.0,0.5,8.0,66.0,pe hit time,0.5,3,1.0209950994145889,0.8152248710199573,0.8116944875342192,0.94481382980789,1.0453914503547188,-0.32056095025744175
112,1.0,11.7,375.0,0.5,8.0,72.0,constant fraction,0.1,3,1.0209950995138544,0.815224870914291,0.8116944874917893,0.9448138299228446,0.939286646245519,-0.12329100543579045
113,1.0,11.7,375.0,0.5,8.0,72.0,constant fraction,0.2,3,1.0209950995138544,0.815224870914291,0.8116944874917893,0.9448138299228446,0.9384212910119515,-0.15862616200424923
114,1.0,11.7,375.0,0.5,8.0,72.0,constant fraction,0.3,3,1.0209950995138544,0.815224870914291,0.8116944874917893,0.9448138299228446,1.0866384792436996,-0.19905182650453765
115,1.0,11.7,375.0,0.5,8.0,72.0,constant fraction,0.5,3,1.0209950995138544,0.815224870914291,0.8116944874917893,0.9448138299228446,1.5758028545536458,-0.30799682914581894
116,1.0,11.7,375.0,0.5,8.0,72.0,pe hit time,0.5,1,1.0209950995138544,0.815224870914291,0.8116944874917893,0.9448138299228446,1.0350435490717518,-0.20819864224171014
117,1.0,11.7,375.0,0.5,8.0,72.0,pe hit time,0.5,2,1.0209950995138544,0.815224870914291,0.8116944874917893,0.9448138299228446,0.9507386908045273,-0.23361748689805986
118,1.0,11.7,375.0,0.5,8.0,72.0,pe hit time,0.5,3,1.0209950995138544,0.815224870914291,0.8116944874917893,0.9448138299228446,1.045876327161349,-0.3192872723853666
119,1.0,11.7,375.0,0.5,8.0,92.0,constant fraction,0.1,3,1.0209950994219597,0.8152248710916896,0.8116944875834788,0.9448138297989106,0.9462140335400459,-0.12294515839074611
120,1.0,11.7,375.0,0.5,8.0,92.0,constant fraction,0.2,3,1.0209950994219597,0.8152248710916896,0.8116944875834788,0.9448138297989106,0.9492514991929966,-0.16300508597977256
121,1.0,11.7,375.0,0.5,8.0,92.0,constant fraction,0.3,3,1.0209950994219597,0.8152248710916896,0.8116944875834788,0.9448138297989106,1.0951087976199845,-0.1991282087802977
122,1.0,11.7,375.0,0.5,8.0,92.0,constant fraction,0.5,3,1.0209950994219597,0.8152248710916896,0.8116944875834788,0.9448138297989106,1.5902636064201767,-0.3139950501958511
123,1.0,11.7,375.0,0.5,8.0,92.0,pe hit time,0.5,1,1.0209950994219597,0.8152248710916896,0.8116944875834788,0.9448138297989106,1.0461175376723257,-0.20932818541242018
124,1.0,11.7,375.0,0.5,8.0,92.0,pe hit time,0.5,2,1.0209950994219597,0.8152248710916896,0.8116944875834788,0.9448138297989106,0.9591161266183454,-0.2371166361415473
125,1.0,11.7,375.0,0.5,8.0,92.0,pe hit time,0.5,3,1.0209950994219597,0.8152248710916896,0.8116944875834788,0.9448138297989106,1.0533771230572178,-0.321351622850969
126,1.0,11.7,375.0,1.5,4.0,24.0,constant fraction,0.1,3,0.8049654278801591,0.6690710247523752,0.6523194874368746,0.7971391842869092,0.8283262870241495,-0.13382832947663015
127,1.0,11.7,375.0,1.5,4.0,24.0,constant fraction,0.2,3,0.8049654278801591,0.6690710247523752,0.6523194874368746,0.7971391842869092,0.9209868762047763,-0.16813148870273398
128,1.0,11.7,375.0,1.5,4.0,24.0,constant fraction,0.3,3,0.8049654278801591,0.6690710247523752,0.6523194874368746,0.7971391842869092,1.026044743393966,-0.17236526283735726
129,1.0,11.7,375.0,1.5,4.0,24.0,constant fraction,0.5,3,0.8049654278801591,0.6690710247523752,0.6523194874368746,0.7971391842869092,1.4198115673451257,-0.24564837877497056
130,1.0,11.7,375.0,1.5,4.0,24.0,pe hit time,0.5,1,0.8049654278801591,0.6690710247523752,0.6523194874368746,0.7971391842869092,0.832487424388287,-0.20285873144600725
131,1.0,11.7,375.0,1.5,4.0,24.0,pe hit time,0.5,2,0.8049654278801591,0.6690710247523752,0.6523194874368746,0.7971391842869092,0.9263414113339844,-0.24436218357167283
