,WaveformDecomposition.stop_methode,WaveformDecomposition.stop_region,WaveformDecomposition.threshold,WaveformDecomposition.fwhm,WaveformDecomposition.search_range,WaveformDecomposition.search_edge,MipTimeRetrieval.pe_hit_time,MipTimeRetrieval.window_length,MipTimeRetrieval.window_threshold,SystematicsStudy.threshold_tres,SystematicsStudy.range_time,MPV_1,MPV_2,MPV_3,MPV_4,TRes,TRes_shift
51,2.0,3.0,1.5,6.0,1000.0,200.0,1.0,36.0,2.0,0.6,6.0,16.50000000067406,13.488564530152198,13.500000001652051,13.180544512739438,2.2233208079688382,-0.5589781297384456
52,2.0,3.0,1.5,6.0,1000.0,200.0,1.0,36.0,3.0,0.5,6.0,16.500000000511996,11.091118103315058,13.500000000720814,13.185149835155736,1.5188072614843422,-0.611916610045286
53,2.0,3.0,1.5,6.0,1000.0,200.0,1.0,36.0,3.0,0.6,6.0,16.500000000511996,11.091118103315058,13.500000000720814,13.185149835155736,2.22618440193166,-0.5590938881471095
54,2.0,3.0,1.5,6.0,1000.0,200.0,2.0,4.0,1.0,0.5,6.0,8.901673628113516,5.602033786669091,7.536040940664583,6.780803687444046,0.8522619684704604,-0.35492203790740007
55,2.0,3.0,1.5,6.0,1000.0,200.0,2.0,4.0,1.0,0.6,6.0,8.901673628113516,5.602033786669091,7.536040940664583,6.780803687444046,0.7892717177069082,-0.3414164695818438
56,2.0,3.0,1.5,6.0,1000.0,200.0,2.0,4.0,2.0,0.5,6.0,8.858858562590314,4.579394205102406,7.786945093544139,6.712335640142095,0.8485237109916647,-0.3491570145667223
57,2.0,3.0,1.5,6.0,1000.0,200.0,2.0,4.0,2.0,0.6,6.0,8.858858562590314,4.579394205102406,7.786945093544139,6.712335640142095,0.7966249568356514,-0.34412389828785833
58,2.0,3.0,1.5,6.0,1000.0,200.0,2.0,4.0,3.0,0.5,6.0,9.021904484117316,4.702850962189261,7.383791258267053,6.441387296015585,0.8483152353533707,-0.345131522337794
59,2.0,3.0,1.5,6.0,1000.0,200.0,2.0,4.0,3.0,0.6,6.0,9.021904484117316,4.702850962189261,7.383791258267053,6.441387296015585,0.8053960700477271,-0.3457222553481056
60,2.0,3.0,1.5,6.0,1000.0,200.0,2.0,12.0,1.0,0.5,6.0,13.5000000013265,9.993911801906284,12.155282415830488,10.499291270410067,1.2446291590616259,-0.08984341478809738
61,2.0,3.0,1.5,6.0,1000.0,200.0,2.0,12.0,1.0,0.6,6.0,13.5000000013265,9.993911801906284,12.155282415830488,10.499291270410067,1.5536596221438521,-0.3692651700593956
62,2.0,3.0,1.5,6.0,1000.0,200.0,2.0,12.0,2.0,0.5,6.0,13.500000000454152,9.621825628952367,12.179143273067218,10.503768367003046,1.2446291590616259,-0.08984341478809738
63,2.0,3.0,1.5,6.0,1000.0,200.0,2.0,12.0,2.0,0.6,6.0,13.500000000454152,9.621825628952367,12.179143273067218,10.503768367003046,1.5536596221438521,-0.3692651700593956
64,2.0,3.0,1.5,6.0,1000.0,200.0,2.0,12.0,3.0,0.5,6.0,13.500000001523617,9.659964756829886,11.843556929609313,10.55351680179851,1.139887101818462,-0.3658770458201474
65,2.0,3.0,1.5,6.0,1000.0,200.0,2.0,12.0,3.0,0.6,6.0,13.500000001523617,9.659964756829886,11.843556929609313,10.55351680179851,1.5544578251240133,-0.36857115330940643
66,2.0,3.0,1.5,6.0,1000.0,200.0,2.0,36.0,1.0,0.5,6.0,16.50000000160796,13.482615214147204,13.500000001475653,13.179291270493993,1.1309736699185982,-0.3528602764168856
67,2.0,3.0,1.5,6.0,1000.0,200.0,2.0,36.0,1.0,0.6,6.0,16.50000000160796,13.482615214147204,13.500000001475653,13.179291270493993,2.4523884217130973,-0.325992206982048
68,2.0,3.0,1.5,6.0,1000.0,200.0,2.0,36.0,2.0,0.5,6.0,16.50000000067406,13.488564530152198,13.500000001652051,13.180544512739438,1.1309736699185982,-0.3528602764168856
69,2.0,3.0,1.5,6.0,1000.0,200.0,2.0,36.0,2.0,0.6,6.0,16.50000000067406,13.488564530152198,13.500000001652051,13.180544512739438,2.4523884217130973,-0.325992206982048
70,2.0,3.0,1.5,6.0,1000.0,200.0,2.0,36.0,3.0,0.5,6.0,16.500000000511996,11.091118103315058,13.500000000720814,13.185149835155736,1.130270538108119,-0.352085542556221
71,2.0,3.0,1.5,6.0,1000.0,200.0,2.0,36.0,3.0,0.6,6.0,16.500000000511996,11.091118103315058,13.500000000720814,13.185149835155736,2.4519314985127125,-0.32564817508809696
72,2.0,3.0,1.5,8.0,1000.0,200.0,1.0,4.0,1.0,0.5,6.0,9.163485524981118,5.761691531425852,7.533051401981761,6.812017859584301,0.7142907933642922,-0.4161478447302353
73,2.0,3.0,1.5,8.0,1000.0,200.0,1.0,4.0,1.0,0.6,6.0,9.163485524981118,5.761691531425852,7.533051401981761,6.812017859584301,0.6712916973665056,-0.4463476342004068
74,2.0,3.0,1.5,8.0,1000.0,200.0,1.0,4.0,2.0,0.5,6.0,9.037203975760214,4.6755415688815605,7.732820942878693,6.720007211920483,0.7142907933642922,-0.4161478447302353
75,2.0,3.0,1.5,8.0,1000.0,200.0,1.0,4.0,2.0,0.6,6.0,9.037203975760214,4.6755415688815605,7.732820942878693,6.720007211920483,0.6712916973665056,-0.4463476342004068
76,2.0,3.0,1.5,8.0,1000.0,200.0,1.0,4.0,3.0,0.5,6.0,9.198340128098172,4.803845464515927,7.330171849287964,6.64590822175572,0.7598114840942888,-0.42398102371387214
77,2.0,3.0,1.5,8.0,1000.0,200.0,1.0,4.0,3.0,0.6,6.0,9.198340128098172,4.803845464515927,7.330171849287964,6.64590822175572,0.6804659460331801,-0.4508975481825908
